Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Object_Car,GarageCars_types_1,GarageCars_types_2,GarageCars_types_3,GarageCars_types_4
11,20,RL,70.0,11200,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1.791759469228055,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,6.947937068614969,1,0,1,0,3,1,TA,5,Typ,0,Gd,Detchd,1965.0,Unf,384,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,2,2008,WD,Normal,11.771443882099637,1,True,False,False,False
12,60,RL,85.0,11924,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1.9459101490553132,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,7.751475318021456,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,736,TA,TA,Y,147,21,0,0,0,0,Gd,MnPrv,Shed,0,7,2006,New,Partial,12.001511614739405,3,False,False,True,False
13,20,RL,69.0,12968,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1.791759469228055,6,1962,1962,Hip,CompShg,HdBoard,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,6.816735880594968,1,0,1,0,2,1,TA,4,Typ,0,Gd,Detchd,1962.0,Unf,352,TA,TA,Y,140,0,0,0,176,0,Gd,MnPrv,Shed,0,9,2008,WD,Normal,11.87757552297847,1,True,False,False,False
14,20,RL,91.0,10652,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2.0794415416798357,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,7.3098814858247865,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,840,TA,TA,Y,160,33,0,0,0,0,Gd,MnPrv,Shed,0,8,2007,New,Partial,12.540761149388421,3,False,False,True,False
15,20,RL,69.0,10920,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.9459101490553132,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,7.134093721192866,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,352,TA,TA,Y,0,213,176,0,0,0,Gd,GdWo,Shed,0,5,2008,WD,Normal,11.964007453736912,1,True,False,False,False
16,45,RM,51.0,6120,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,2.0794415416798357,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,6.75110146893676,0,0,1,0,2,1,TA,5,Typ,0,Gd,Detchd,1991.0,Unf,576,TA,TA,Y,48,112,0,0,0,0,Gd,GdPrv,Shed,0,7,2007,WD,Normal,11.790564777297387,2,False,True,False,False
17,20,RL,69.0,11241,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.9459101490553132,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,6.912742820493176,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,480,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,700,3,2010,WD,Normal,11.91170829631447,2,False,True,False,False
18,90,RL,72.0,10791,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,1.6094379124341003,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,Slab,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,7.167809184316444,0,0,2,0,2,2,TA,6,Typ,0,Gd,CarPort,1967.0,Unf,516,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,500,10,2006,WD,Normal,11.407576060361786,2,False,True,False,False
19,20,RL,66.0,13695,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,1.791759469228055,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,7.016609683894219,1,0,1,1,3,1,Gd,6,Typ,0,Gd,Detchd,2004.0,Unf,576,TA,TA,Y,0,102,0,0,0,0,Gd,MnPrv,Shed,0,6,2008,WD,Normal,11.976665770490767,2,False,True,False,False
20,20,RL,70.0,7560,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.791759469228055,6,1958,1965,Hip,CompShg,BrkFace,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,7.200424892944957,0,0,1,0,3,1,TA,6,Min1,0,Gd,Attchd,1958.0,Unf,294,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,5,2009,COD,Abnorml,11.842236406331555,1,True,False,False,False
21,60,RL,101.0,14215,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2.1972245773362196,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,7.773594467360194,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,853,TA,TA,Y,240,154,0,0,0,0,Gd,MnPrv,Shed,0,11,2006,New,Partial,12.692506186542177,3,False,False,True,False
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,2.0794415416798357,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,7.011213987350367,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,280,TA,TA,N,0,0,205,0,0,0,Gd,GdPrv,Shed,0,6,2007,WD,Normal,11.845109950883979,1,True,False,False,False
23,20,RL,75.0,9742,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2.1972245773362196,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,7.493317248862145,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,534,TA,TA,Y,171,159,0,0,0,0,Gd,MnPrv,Shed,0,9,2008,WD,Normal,12.345838935721968,2,False,True,False,False
24,120,RM,44.0,4224,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,1.791759469228055,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,6.966967138613983,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,572,TA,TA,Y,100,110,0,0,0,0,Gd,MnPrv,Shed,0,6,2007,WD,Normal,11.774527900858468,2,False,True,False,False
25,20,RL,69.0,8246,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1.791759469228055,8,1968,2001,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,6.966967138613983,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,270,TA,TA,Y,406,90,0,0,0,0,Gd,MnPrv,Shed,0,5,2010,WD,Normal,11.944714374881176,1,True,False,False,False
26,20,RL,110.0,14230,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2.1972245773362196,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,7.3783837129967145,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,890,TA,TA,Y,0,56,0,0,0,0,Gd,MnPrv,Shed,0,7,2009,WD,Normal,12.454107814022272,3,False,False,True,False
27,20,RL,60.0,7200,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.791759469228055,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,6.803505257608338,0,1,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,2005.0,Unf,576,TA,TA,Y,222,32,0,0,0,0,Gd,MnPrv,Shed,0,5,2010,WD,Normal,11.811554895830454,2,False,True,False,False
28,20,RL,98.0,11478,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2.1972245773362196,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,7.4413203897176174,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,772,TA,TA,Y,0,50,0,0,0,0,Gd,MnPrv,Shed,0,5,2010,WD,Normal,12.631343648903034,3,False,False,True,False
29,20,RL,47.0,16321,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.791759469228055,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,7.3783837129967145,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,319,TA,TA,Y,288,258,0,0,0,0,Gd,MnPrv,Shed,0,12,2006,WD,Normal,12.242891437918386,1,True,False,False,False
30,30,RM,60.0,6324,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,1.6094379124341003,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,6.255750041753367,0,0,1,0,1,1,Fa,4,Typ,0,Gd,Detchd,1920.0,Unf,240,Fa,TA,Y,49,0,87,0,0,0,Gd,MnPrv,Shed,0,5,2008,WD,Normal,11.134603622683905,1,True,False,False,False
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,1.6094379124341003,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,7.183870715062453,0,0,1,0,3,1,TA,6,Typ,0,Gd,Detchd,1920.0,Unf,250,TA,Fa,N,0,54,172,0,0,0,Gd,MnPrv,Shed,0,7,2008,WD,Normal,10.596659732783579,1,True,False,False,False
32,20,RL,69.0,8544,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,1.791759469228055,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,7.113956109566034,0,0,1,1,3,1,Gd,6,Typ,0,Gd,Attchd,1966.0,Unf,271,TA,TA,Y,0,65,0,0,0,0,Gd,MnPrv,Shed,0,6,2008,WD,Normal,11.914054519303125,1,True,False,False,False
33,20,RL,85.0,11049,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2.1972245773362196,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,7.118826249062078,0,0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,2007.0,RFn,484,TA,TA,Y,0,30,0,0,0,0,Gd,MnPrv,Shed,0,1,2008,WD,Normal,12.100161978566867,2,False,True,False,False
34,20,RL,70.0,10552,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.791759469228055,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,7.438971592395862,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,447,TA,TA,Y,0,38,0,0,0,0,Gd,MnPrv,Shed,0,4,2010,WD,Normal,12.016732516077072,2,False,True,False,False
35,120,RL,60.0,7313,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,1.9459101490553132,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,7.3537223303996315,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,556,TA,TA,Y,203,47,0,0,0,0,Gd,MnPrv,Shed,0,8,2007,WD,Normal,12.533579815765737,2,False,True,False,False
36,60,RL,108.0,13418,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,2.1972245773362196,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,7.8050670442584895,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,691,TA,TA,Y,113,32,0,0,0,0,Gd,MnPrv,Shed,0,9,2006,WD,Normal,12.6410997921206,3,False,False,True,False
37,20,RL,112.0,10859,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1.791759469228055,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,7.001245622069476,0,0,1,1,3,1,TA,6,Typ,0,Gd,Attchd,1995.0,Unf,672,TA,TA,Y,392,64,0,0,0,0,Gd,MnPrv,Shed,0,6,2009,WD,Normal,11.884495917930655,2,False,True,False,False
38,20,RL,74.0,8532,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.791759469228055,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,7.168579897264035,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,498,TA,TA,Y,0,0,0,0,0,0,Gd,MnPrv,Shed,0,10,2009,WD,Normal,11.938199736300925,2,False,True,False,False
39,20,RL,68.0,7922,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.791759469228055,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,6.964135612418245,1,0,1,0,3,1,Gd,5,Typ,0,Gd,Detchd,1953.0,Unf,246,TA,TA,Y,0,52,0,0,0,0,Gd,MnPrv,Shed,0,1,2010,WD,Abnorml,11.599112335481124,1,True,False,False,False
40,90,RL,65.0,6040,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,1.6094379124341003,5,1955,1955,Gable,CompShg,AsbShng,Plywood,BrkFace,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,0,0,GasA,TA,N,FuseP,1152,0,0,7.050122520269059,0,0,2,0,2,2,Fa,6,Typ,0,Gd,Attchd,1978.5061638868744,Unf,0,TA,TA,N,0,0,0,0,0,0,Gd,MnPrv,Shed,0,6,2008,WD,AdjLand,11.314486721293981,0,False,False,False,False
41,20,RL,84.0,8658,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1.9459101490553132,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,7.1891677384203225,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,440,TA,TA,Y,0,138,0,0,0,0,Gd,GdWo,Shed,0,12,2006,WD,Abnorml,11.982935344196433,2,False,True,False,False
42,20,RL,115.0,16905,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,1.791759469228055,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,7.192182058713246,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,308,TA,TA,P,0,104,0,0,0,0,Gd,MnPrv,Shed,0,7,2007,WD,Normal,12.04355959836804,1,True,False,False,False
43,85,RL,69.0,9180,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,1.791759469228055,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,6.785587645007929,1,0,1,0,2,1,Gd,5,Typ,0,Gd,Attchd,1983.0,RFn,504,TA,Gd,Y,240,0,0,0,0,0,Gd,MnPrv,Shed,0,12,2007,WD,Normal,11.87757552297847,2,False,True,False,False
